sentence,label
هی  وایسا رفیق  داری کجا میری؟,محاوره
صدها هزار ساعت انقدر سخت رانندگی کنی,محاوره
  در این دنیای پر از غصه سیاحت می کنم  ,محاوره
< >میروم تا سرگردان نباشم  < >,محاوره
یک نگاه بیانداز یک نگاه بیانداز,رسمی
فکر میکردم قراره برگردیم عقب آدوغه و غذا بیاریم ,محاوره
من جلو میرم تو حواست به عقب باشه,محاوره
اگر می‌توانی راه بروی برو به قسمت تریاژ,رسمی
نه  تو کسی رو میخوای که تحسینت کنه  ,محاوره
برای چه فقط تو را فرستادن؟,رسمی
  لطفا نامه رو بگیرید,محاوره
< >میدونم راهم خیلی   سخت و ناهموار است< >,محاوره
وقتی که آن منو دزدید حامله بودم,رسمی
این خانه کاملا منقضی شده,رسمی
به آن جا می RAM تا پدرم را ببینم,رسمی
من فقط می‌روم به خانه,رسمی
  اگه اینکارو نکنین  قتل عام رخ میده,محاوره
بگو دست نگه دارند بله قربان,رسمی
  احتمالا باید برم داخل,محاوره
  شهر رو رد میکنم ,محاوره
نه  سنگرهای میدانی چند هفته پیش  بمبارون شدن,محاوره
ببین آن فقط یک تکه حلبی لعنتیه,رسمی
  بوی مایونز فاسد میده,محاوره
 احتمالا نزدیکای پیچ بعدی باشن,محاوره
فکر کردم ممکنه این جا یه مقدار خوراک درست وحسابی گیرمون بیاد,محاوره
  احتمالا باید برم داخل,محاوره
هیچ فکر می‌کنی اگر اینجا خالی بشود آن وقت چه می‌شود؟,رسمی
 از اینهمه آدم برای چی منو انتخاب کردی؟,محاوره
زنگ زدی؟  شخص عجیبی جواب داد,محاوره
 یا خدا  کارو برای خودشون سخت تر می کنن,محاوره
  اگه گلوله خوردین  برگردین پیش سیم خاردار,محاوره
چشم چرانی دوستم رو کرده اوه   مالی   ,محاوره
ویلکو زهره ترک می شه و از جاش می پره  و وقتی این کار رو می کنه,محاوره
 مطمئنه که اگه خطشون رو بشکنه ورق رو برمی گردونه,محاوره
< >   میرم اونجا به دیدار پدرم  < >,محاوره
فقط به این دلیل کشیشی را قبول نکردم,رسمی
 آلمانی ها واسه این نقشه کشیدن  قربان,محاوره
چه خبر پسر کوچولو اینجارو امضا میزنی؟,محاوره
یه پیغام فوری برای گردان دوم دارم,محاوره
آره؟ به نظر می رسه داری یه جور مواد می کشی,محاوره
فورا راه بیافتید از خندق غربی بروید تا خیابان ساکینهال,رسمی
فکر می کردم می خوان ما رو به عنوان نیروی کمکی بفرستن خط  یا برای غذا  یا چیز دیگه ای,محاوره
آره معلومه که این را می‌گویی برادرت که تو خطر نیست نه؟,رسمی
جایی که رستگاری خداوند   نصیب همگان خواهد شد,محاوره
خط مقدم آلمان‌ها تقریباً <عدد> متر آن طرف ترشه,رسمی
گرچه قراره انجامش بدیم  درسته؟,محاوره
خب مطمئنا نارضایت را به فرماندهی اعلام می‌کنم,رسمی
این وقت سال که برف می‌بارید همه آنها شکوفه می‌زدند,رسمی
چرا؟ چون میدونی حق با منه؟,محاوره
عذر می‌خواهم آن شما را اذیت کرده؟,رسمی
فکر کردم ممکنه این جا یه مقدار خوراک درست وحسابی گیرمون بیاد,محاوره
فکر می‌کردم که از درد زایمان می‌میرم و اینطوری می‌شود,رسمی
باید خودم را به گردان دوم در آن طرف اکو است برسانم,رسمی
 خواهش می کنم  باید سریعتر برم,محاوره
با یک فرمانده‌ی فرانسوی عوضش کردم,رسمی
نیروی جایگزین مون هستید؟ نه قربان,رسمی
خیلی وقت نیست که رفتن,رسمی
مادرم پشت خونه یه باغچه داره چندتا درخت داخلش هست,محاوره
راسی درون این< عدد> سالی که سرباز بودم,رسمی
این دستور واسه الانه  هفته دیگه  فرماندهی یه پیغام دیگه میفرسته,محاوره
  آره ما هنگ دی هستیم  شب رو مشغول سنگر کندن بودیم,محاوره
نگاش کن چقدر پرروئه,رسمی
پشتش کلاً گوهی شده بود,رسمی
 اگه ازز موانع عبور کنیم می رسیم,محاوره
می‌روم به جنوب شرق تا برسم به اکو است,رسمی
همیشه داستان‌های خنده‌دار می‌گفت,رسمی
ازینجا تا در امتداد دارد,رسمی
دیوانه میشم و با این موش داخل قفس مواجه میشم,محاوره
لیاقت تو آن عوضی نیست,رسمی
به اتاقتون برید و من الان میام اونجا,محاوره
ماه هاست که داشتن این نقشه رو طراحی می کردن  اونا میخوان که شما حمله کنید,محاوره
 باید با خودت می بردی خونه,محاوره
باید صبر کنی تا گردان اول بیاید,رسمی
زمانی که فهمیدم دیگر نمی‌توانم بمونم و مجبورم برگردم,رسمی
  فکر کنم می خواستن از این طرف بریم می خواستن ما رو به خاک بسپارن,محاوره
محض رضای خدا  پسر برو و کاپیتان رو ببین,محاوره
 تو که ازش سربلند بیرون اومدی حداقل الان مدال به خودت وصل کردی,محاوره
خوش حال باش  هفت  دیگه همین موقع شام مرغ می خوریم,محاوره
کسی جلوتو نگرفته اگر میخوای میتونی برگردی بری خونه ,محاوره
دیروز صبح یه خبر فرستاده که داره می ره سراغ آلمانی هایی که در حال عقب نشینی ان,محاوره
بهتر بود که جنازه شون رو با شیلنگ از این سنگر لعنتی میشستیم,محاوره
  حواست باشه کی رو هل میدی    باشه پس گمشو اون طرف ,محاوره
ژنرال انریمور دستور دادند که این حمله متوقف بشود,رسمی
ما پارسال برای تعطیلات بهار به فلوریدا رفتیم,محاوره
برام آزاردهنده است که نمی خوای لمسم کنی,محاوره
  باید به حرکت ادامه بدیم  بجنب,محاوره
 باشه  فقط جلوی پاتو نگاه کن,محاوره
 یه شکاف تو سیم خاردار هست,محاوره
  تو هم می تونی باهامون باشی,محاوره
 سه مایل جلوتر  استحکامات میدانی و دفاعی  توپخانه,محاوره
ببین پایت را کجا می‌گذاری ببخشید,رسمی
  دریچه ها خیلی کوچیکند  کسی نمی تونه صدامونو بشنوه,محاوره
نقشه‌های هوایی خط جدید,رسمی
نه وقتی که حرومزاده‌ها دارند عقب‌نشینی می‌کنند این آخرین موضعشونه,رسمی
فکر کردی چه خری هستی که اینطوری سربازهای مجروح را هل می‌دهی؟,رسمی
خب انگار که داریم انجامش میدیم,محاوره
بعدش درخت‌ها از قبل هم بیشتر می‌شوند,رسمی
  باید شیشه رو برگردونی سر جاش,محاوره
نه تو تحسین‌کننده می‌خواهی,رسمی
باید از آنجا عبور کنید,رسمی
درون تختت مردم دارند سکس می‌کنند,رسمی
در صورت حمله متقابل خط را حفظ کنید بله قربان,رسمی
تعجب میکنم چجوری کسی رو   نفرستادین تا درست ک,محاوره
چیزی نیست چیزیت نیست حرکت نکن حرکت نکن,رسمی
سرجوخه بقیه هر کار می‌خواهند بکنند بقیه باید انضباطشون را حفظ کنند,رسمی
سه بسته تو یک هفته,محاوره
با یک کاپیتان فرانسوی تاختش زدم,رسمی
وقتی که از اتاق‌خواب بچه‌ها دوربین پیدا می‌کردند,رسمی
آره درست با این وضع دیگر حکم معجزه را دارد,رسمی
  خاک دشمنه  نمی دونیم داریم وارد چه قضیه ای میشیم,محاوره
  اگه دلت می خواد می تونی برگردی به اون خونه لعنتیت,محاوره
سرجوخه بلیک و اسکوفیلد قربان,رسمی
ولی غم تون نباشد مطمئنا یک مدال درون این کار هست,رسمی
خب  کیف پولتو چک کردی؟,محاوره
  این بهترین راه واسه درمان همچین چیزیه,محاوره
نه سنگرهای می‌دانی که چندهفته پیش بمباران شدن,رسمی
  پیچ بعدی ایستادی روی نصفشون,محاوره
آن دستور دارد خیل خب باشد,رسمی
از عقب آنجا سنگینتره,رسمی
یا مسیح مرد برو پیش سرهنگ,رسمی
< عدد> یارد جلوتر درون سنگره,رسمی
  آنها با الکی به دریا رفتند  ,محاوره
از اینجا میره به سمت در ,محاوره
هیچ وقتی رو با بچه ها صرف کردی؟,محاوره
این را به سرگرد استیونسون بدهید بخش کوچک از,رسمی
بخواهم از قاتل زنجیره‌ای اجاره کنم,رسمی
 زور بزنید دوستان برای آخرین بار هل میدیم,محاوره
چرا انقدر منحرف وجود داره؟,محاوره
ما آخر‌از‌همه اعزام میشیم,رسمی
تا وقتی که ببینم اون ها هم به من متهعد هستند,محاوره
 باید خودم رو به گردان دوم  اونور شهر  اکوست  برسونم,محاوره
و فقط یه تیکه حلبی نیست یه روبان هم بهش وصله,محاوره
 باشه اصلا فرض میکنیم که آلمان ها رفتن,محاوره
چشم‌چرانی دوستم را کرده اوه مالی,رسمی
آخر بیا بیا یک سفر برویم,رسمی
  وقتی که منو دزدید  من حامله بودم,محاوره
واقعاً چرا تو این‌چنین چیزی را می‌دانی؟,رسمی
آن‌وقت صبح قربان می بیننمون,رسمی
ویل آدم مسخره ای هست,رسمی
 منور کوفتی رو شلیک کن,محاوره
  و اون یهویی بهمون گفت,محاوره
  من فقط دارم میگم صبر کنیم,محاوره
فکر نمی‌کردم این م موریت را به ما می‌دهند,رسمی
حتی از قبل تعداد درختهای بیشتری میشن,محاوره
موج دوم را متوقف کنیم قربان؟,رسمی
الان که یک مدت از با هم بودنمون می‌گذرد,رسمی
نوعی از فیلمسازی یا این‌چنین چیزی؟,رسمی
  مرتیکه رانندگی بلد نیست,محاوره
فقط حلبی نیست ربان هم دارد,رسمی
  یکی براشون بیار  کیلگور  یه بار بدرد بخور,محاوره
نگذار ساس‌ها گازت بگیرند,رسمی
 نباید اینجا بمونی باید بجنبیم  خب؟,محاوره
شوخی کردم بابا شوخی کردم,محاوره
  میدونم که تو برداشتیش,محاوره
مردم فکر می‌کنند که فقط یکنوع گیلاس هست ولی چند نوع داریم,رسمی
لطف کنید و پرتشون کنید اینطرف  آفرین پسرای خوب,محاوره
  این مزخرفه  رفیق  کاری برای انجام دادن نیست,محاوره
پل بعدی شیش مایلی اینجاست مجبوریم از یه راه دیگه بریم,محاوره
موفق باشی حواست را جمع کن,رسمی
امکان نداره اون قدر گرسنه باشی,محاوره
  هیچی مثل یه تیکه روبان  یه بیوه رو خوشحال نمیکنه,محاوره
پس حالا به تو بستگی دارد,رسمی
دو شب پیش دخلشون را آوردن,رسمی
  باید راه خروجی از اینجا وجود داشته باشه,محاوره
 او قانعت کرده که تلاشی نکنی,محاوره
خط آلمانی< عدد> متر اونوتره,رسمی
  برادرتو در حال کشیدن گرفتم,محاوره
  ویلکو هم ترسید و از جاش پرید وقتی هم پرید,محاوره
و ماشین را به لوک برگردان,رسمی
چون برای ایشان تله چیده‌شده,رسمی
بی‌خیال بچه‌ها چندش‌آور اند,رسمی
  دارن برمی گردن خونه  موندم چی دیدن,محاوره
خیلی خب یک دو سه,رسمی
  من فقط دارم میگم صبر کنیم,محاوره
نیوفاندلندی‌ها پیشروی کردند و درخواست نیروی کمکی کردند,رسمی
بهرحال  دختره یه روغن مو براش میفرسته,محاوره
 برو یکی به جراحاتت برسه,محاوره
واحدهای نه و ده آماده بشید ,محاوره
فکر می کردم می خوان ما رو به عنوان نیروی کمکی بفرستن خط  یا برای غذا  یا چیز دیگه ای,محاوره
ولی مصمم هستند آخر هفته مون را خراب کنند,رسمی
چه‌عجب تشریف آوردید بالاخره آقایان,رسمی
 فقط یه راه برای تموم شدن جنگ هست,محاوره
فکر کردم تو آزمایشگاه می‌میرم و تمام می‌شود,رسمی
  ما  گمونم  دو به یکه,محاوره
و ماه مه من و جو برداشت میوه داریم,رسمی
پس تا موقع غروب وقت داریم,رسمی
حالا یه دفعه چند کیلومتر رو دادن برای خودمون؟ این یه تله ست,محاوره
 فکر کنم آخرین باری که برای سکس پول دادم,محاوره
آن در موج اول حمله بود,رسمی
موش گوش لعنتیش را می‌کند و با آن فرار می‌کند,رسمی
بایدم این را بگویی پای جان برادر تو که در میون نیست,رسمی
ولی غم تون نباشه  مطمئنا یه مدال توی این کار هست,محاوره
  این سنگر یکطرفه ست  احمقا,محاوره
  بگو عقب نشینی کنن  بله قربان,محاوره
یک برادر داری؟ یک ستوان درون جنگ دوونز دوم؟,رسمی
 پل بعدی شش مایل فاصله داره مجبوریم از یه راه دیگه بریم,محاوره
می‌دانی مثلاً چه اتفاقی درون زندگیشون می‌افتد که از حد خودشان می‌گذرند,رسمی
خیلی خب بچه‌ها باز هم جمعمون جمع شد,رسمی
 خط مقدم رو جلو برید تا به  یورک ها  برسید ,محاوره
  اره؟ به نظر داشتی چیزی می کشیدی,محاوره
نگاه تو برو سرگرمشون کن,رسمی
  باید می بردیش با خودت خونه باید,محاوره
قربان  من دستور دارم که  جلوی این حمله رو بگیرم,محاوره
این‌چنین بهانه مسخره‌ای نشنیدم,رسمی
فقط میگم که باید صبر کنیم,محاوره
اوه  گندش بزنن  باز چی شد؟  یه درخت کوفتی دیگه نباشه  ,محاوره
بعدا هم باید از این کارا بکنیم,رسمی
اونها عقل لعنتیشون رو از دست دادن؟,محاوره
ولی بعضی آدما جنگ طلبن,محاوره
الان که فکر می‌کنم ما یک مدتی قرار میذاشتیم,رسمی
اونجا رو نگاه کن تفنگهاشون رو نابود کردن,محاوره
هی  اخرین کسی که رفت بیرون کی بود؟,محاوره
  سرزمینی ست که فشفشه ها زندگی می کنن  ,محاوره
نه یک خندق مسخره داشتیم که چند هفته پیش ترکاندند,رسمی
چندتا از این خونه ها داشت؟,محاوره
من به گناهم اعتراف میکنم اولیا حضرت,محاوره
گاهی اوقات باید دوباره این کارو بکنیم,محاوره
می جنگیم  حمله می کنیم  قطارها و پلها رو منفجر می کنیم ولی نه اینجوری,محاوره
  هات داگ تاریخ مصرف گذشته خوردم,محاوره
بابا تو اون رو بی ادب بار اوردی,محاوره
کنارش یک راه کوچک هست,رسمی
ولی با برادر من لاس نزن تا حال خودت رو بهتر کنی,محاوره
  نباید سرعتتون رو کم کنید اگه نفر کناریت افتاد  شما ادامه بدین,محاوره
 باورش شده که درحال فرار گیرشون انداخته,محاوره
 از جبهه کوفتی آلمان زنده موندیم,محاوره
به تو نمی‌خورد اینقدر گرسنه باشی,رسمی
زیرکانه است آن ها می‌دانند اگر به گاوها شلیک نکن شما آن ها را می‌خورید,رسمی
وقتی که از اتاق‌خواب بچه‌ها دوربین پیدا می‌کردند,رسمی
اصلا خبر ندارن که قراره وارد چه هچلی بشن,محاوره
خیلی خب خیلی خب به اعصابت مسلط باش,رسمی
ادامه بده با آن صحبت کن,رسمی
  گفتم شاید اینجا یه غذایی مسخره ای گیرمون بیاد,محاوره
دفعه بعدی که دیر کردی,رسمی
  دستور داره  باشه باشه,محاوره
بیا به شیکاگو یا بوستون یا چیزی پرواز کنیم,رسمی
باورش شده که درحال فرار گیرشون انداخته,رسمی
  هل نده   پس برو کنار  ,محاوره
فکر کنم از حالت فکوس در اومده,محاوره
منو فرستادن اینجا که یه پیغام برسونم,محاوره
درون تختت مردم دارند سکس می‌کنند,رسمی
از اینجا تا در‌کشیدنش,رسمی
 توی کامیون یکم جا هست  قربان,محاوره
بین سیم خاردارها یک شکاف هست,رسمی
  اره  اونوقت کی میخواد پول بده؟,محاوره
دستور داره  بله  بله  خیلی خب  ,محاوره
موفق باشی مراقب باش خراب نکنی,رسمی
اون موقع هست که می کشیمش,محاوره
 <عدد> یارد جلوتر  توی سنگره,محاوره
این چه هست؟ غذای سگ آلمانی,رسمی
خوش‌حال باش هفت دیگر همین موقع شام مرغ می‌خوریم,رسمی
من بیشتر از وقتی که اون زنده بود اینجام,محاوره
یک شب آرام شد و آن افسرهای ارشد فکر می‌کنند ارتش آلمان رفته خانه,رسمی
آنها سوار بر یک غربال به دریا زدند,رسمی
شر نگو  مرد  ما داریم می ریم  در حال عقب نشینی توی چنگ مون ان,محاوره
این دقیقا همون کاریه که ما می خوایم بکنیم,محاوره
و یک یارویی جواب می‌دهد؟,رسمی
باید به دستور عمل کند باشد باشد,رسمی
یک کنجکاوی ناسالم این را که می‌دانی؟,رسمی
  هیچوقت نفهمیدم باهاش چیکار کرد,محاوره
بهترین قسمت ماجرا این بود که اینقدر روغن روی خودش گذاشته بود که,رسمی
 کل اینجا داره میریزه رو سرمون یالا,محاوره
نمی دونستم برای چه کاری  دارم انتخابت می کنم,محاوره
هی  اون مسواک من نیست ؟,محاوره
به گروهان امداد اطلاع بدید که به زخمی‌ها رسیدگی کنند,رسمی
می‌توانی بروی ایستگاه رسیدگی به مجروحین پشت خط مقدم,رسمی
که داشتم بیشتر از دو لیوان شرابو یه جا میخوردم,محاوره
 طوری نیست  خوب میشی باید پاشی,محاوره
دارید به سمت یه سنگر خراب شده میرید احمقهای دیوونه,محاوره
پوششی هست قربان؟ جایی که بشود از او حمله کرد؟,رسمی
یادت میاد چه بوی گندی بلند شده بود؟,محاوره
  پس چی شد؟  برای چی برای تو مهمه؟,محاوره
   بو شیرینی میداد  مثل  شربت طلایی,محاوره
مولی تو کالج منم سال آخرم,رسمی
بهم اعتماد کن  اونقدر زیادم نیست,محاوره
 دو شب پیش بمبارانش کردن,محاوره
لفتش ندهی چشم گروهبان,رسمی
ولی بعضی آدم‌ها فقط می‌خواهند بجنگند,رسمی
واقعاً نمی‌خواهی بیایی تو آب؟,رسمی
که بتوانم لباس عروسی تنش کنم,رسمی
باید از یه جای دیگه خرید میکردیم,محاوره
خب  خودش این پایین میاد؟,محاوره
می‌توانی بدون من بروی من خودم را به تو می‌رسانم,رسمی
آن‌وقت صبح قربان می بیننمون,رسمی
 مامانم باغ میوه داشت ولی درختاش کم بود,محاوره
  تا هوا تاریک نشده  نمیایم دنبالتون,محاوره
  فرماندهی با ستوان لسلی هستش,محاوره
یکی یکم فست فود جا گذاشته اینجا,محاوره
گردان  نیوفاندلند  جلو کشیده  و نیاز به نیروی کمکی دارن,محاوره
از کجا می‌دانی تو که حتی این زبون را به زور حرف می‌زنی,رسمی
  نزار جانورای تختت گازت بگیرن,محاوره
حتی از قبل تعداد درختهای بیشتری می‌شوند,رسمی
 به یه نفر بگو به زخمت رسیدگی کنه,محاوره
و ای کاش یک احمق دیگر را انتخای کرده بودی,رسمی
فقط دارم می‌روم اردن,رسمی
اینطور نیست ستوان؟ بله همینطور قربان,رسمی
  خب  هر طور راحتی,محاوره
چیزی نیست چیزیت نیست حرکت نکن حرکت نکن,رسمی
یعنی هنوزم فرصت داری سقط کنی,رسمی
پوششی هست  قربان؟ جایی که ازش بپریم؟,محاوره
همه‌ی کاری که می‌کنی این هست؟,رسمی
خوب بنظر می‌رسد اره,رسمی
خب  خاطرجمع می شم که نارضایتی ت به اطلاع فرماندهی برسه,محاوره
البته تا وقتی شب نشود ما نمی‌آییم شما را برداریم,رسمی
رود می‌رود آن جا درخت‌ها کروسی,رسمی
جایی که خدا رستگار کرده   درش به خواب ابدی فرو خواهم رفت,محاوره
تو لیاقتت بهتر از آن اشغاله,رسمی
ولی طور دیگری از تو تعریف کرده بود,رسمی
اگر تیر خوردید سعی کنید برگردید سمت سیم خاردار ها ,محاوره
داستانت را ادامه بده باشد,رسمی
  مزه گه میده  خوبه  کس خل,محاوره
احتمالا وحشت کرده  خب  اون از افراد ما نیست  ,محاوره
و کاملا فراموشش کنم,رسمی
هی   دنیل  تا حالا  ساکنان کاتان  بازی کردی؟,محاوره
ولی هرچی که هست  آخر هفت  ما رو خراب می کنه,محاوره
نمی‌دانستم برای چه دارم انتخابت می‌کنم,رسمی
بنظرت چند وقته که رفتن؟,رسمی
  از منطقه بی طرف رد شدیم بیرون  باپوم,محاوره
درمورد این جا چه فکر می‌کنی؟,رسمی
اوه لعنتی  باز چی شد؟  نگو یه درخت تخمی دیگه سر راهه  ,محاوره
  به سوی رود اردن خواهم رفت  ,محاوره
آره؟ به نظر می رسه داری یه جور مواد می کشی,محاوره
 معبر امنی وجود نداره قربان؟ یه جایی که بتونیم بپریم داخلش و بریم؟,محاوره
آن موقع هست که آن را می‌کشیم,رسمی
بیش‌تر از قبل درخت درمی‌آید,رسمی
 منطقه بی طرف رو تصرف کرده,محاوره
الان پر جنازه هست بهترین گزینتون این هست که ازینجا بروید,رسمی
  متوقف شون کنید   بله  قربان  ,محاوره
لازم نیست نگران باشید با هیچ مقاومتی روبرو نمیشید,رسمی
جایی که خدا رستگار کرده درش به خواب ابدی فرو خواهم رفت,رسمی
ژنرال دستور داده قربان,رسمی
آن ها احتمالا درست تو پیچ بعدی باشند,رسمی
صدها هزاران ساعت فیلم روی هارد دیسک‌ها,رسمی
بلیک اگر عقلانی عمل نکنیم به برادرت نمی‌رسیم,رسمی
 گفت که سربازهای آلمانی رفتن,محاوره
از این جا می‌رود تا در,رسمی
باید میذاشتیم آلمانیا نگهش دارن ,محاوره
چندتا   اورتیز  باید خبرش رو,محاوره
خب می‌دانم که گروهبان بلیک و افرادش از خط رد شدن,رسمی
این تمام کاریه که می کنی؟,محاوره
فکر کنم ما دو به یکیم,رسمی
ما درون ماموریتیم بگذار برویم,رسمی
این تنها دلیلی بود که تصمیم گرفتم به جای کشیش شدن بیام اینجا,محاوره
خیلی خب خیلی خب حالا ترش نکن,رسمی
درست فقط جلوی پات را بپا,رسمی
با یک کاپیتان فرانسوی تاختش زدم,رسمی
هوم راستیتش آن بچه همیشه من را می‌ترساند به هرحال,رسمی
یک نفر رو بردار  وسایلتم بیار ,محاوره
از اینجا رفته به سمت در,محاوره
می‌خواهی یک‌گوشه بنشینی و,رسمی
پل خراب‌شده اوه چه حیف,رسمی
و اگر توی اون جهت بمونیم  احتمالا می رسیم,محاوره
  احتمالا این بلا رو سرش آورده و ماشینش رو دزدیده,محاوره
چیزهایی که قبلا مثلش را ندیده بودم,رسمی
آره مال من افتاد را زمین,رسمی
  یه شب آلمانی ها صداشون در نیومد  حالا فکر کردن رفتن,محاوره
دقیقا روبرو به چپ کنار آن اسب‌های مرده,رسمی
هیچوقت نفهمیدم با آن چه کار‌کرد,رسمی
کل حرفم این هست که صبر کنیم,رسمی
 نه سرگرد  درنگ بکنیم  شکست میخوریم فقط <عدد> متر تا پیروزی فاصله داریم,محاوره
مستقیم بعد به چپ از مسیر اسب‌های مرده,رسمی
حتی موشهاشون هم از مال ما بزرگتره,محاوره
  ولی سعی نکن با لاس زدن با داداشم  جال خودت رو بهتر کنی,محاوره
دارم حالت را می‌گیرم,رسمی
  وقتی به سیم خاردار دوم رسیدین  یه جسد می بینین که توش گیر کرده,محاوره
به سوی رود اردن خواهم رفت,رسمی
این جای لعنتی رو ببینید ,محاوره
آخر از کجا تو این‌ها را می‌دانی؟,رسمی
هات‌داگ تاریخ مصرف گذشته خوردم,رسمی
لطفا نامه را بگیرید,رسمی
توی مسیر با چندتا آلمانی برخورد کردیم که یخورده خودشون و ما رو تو دردسر انداختن,محاوره
حتی موش هاشونم بزرگتر از مال ماست,رسمی
ولی اون موقع هوا روشنه  قربان اونها ما رو میبینن,محاوره
ولی بعضی آدم‌ها جنگ طلبند,رسمی
اون متقاعدت کرده که سعی نکنی,محاوره
پل بعدی <عدد> کیلومتر دورتره باید از یه مسیر دیگه بریم ,محاوره
تا غروب صبر نمی‌کنم یا تا مه بنشیند,رسمی
گروهان بی دو دقیقه دیگر,رسمی
فکر کنم باید یک دکتر بروی,رسمی
البته تا وقتی شب نشود ما نمی‌آییم شما را برداریم,رسمی
   احتمالا ترسیده  از ما نیستش ,محاوره
بنظر من می‌خواستند ما از آن راه برویم می‌خواستند دفنمون کنند,رسمی
پروردگارا یک کار درست نمی‌توانند انجام بدن,رسمی
خفه شو ما درون سانت سانت این مکان لعنتی مبارزه کردیم و مردیم,رسمی
 خب  غذا لازم داری برو چادر آشپزخونه,محاوره
کجا مقر زدن؟ بالای اکو است,رسمی
سرجوخه  یه نفر هر کاری هم که کنه نباید خارج از عرف عمل کنه,محاوره
و قرارگاه شدن کجا است؟ آن‌طرف اکو است,رسمی
 محض رضای خدا  مواظب باشین دارین اجساد رو لگد می کنین,محاوره
خط را نگه دارند محض اینکه بیان بله قربان,رسمی
با یک سروان فرانسوی عوضش کردم,رسمی
نقشه نشان می‌دهد که اگر از آن ستیغ رد بشویم مستقیم به سمت اکو است می‌رویم,رسمی
نه مایل چقدر برای ما زمان می برود چقدر شش ساعت؟ نهایتا هشت ساعت,رسمی
و چرا آنقدر تعداد این عوضی‌ها زیاده؟,رسمی
اره پس یا برنامه کودکه,رسمی
باید می‌ذاشتیم حرام زاده‌ها نگوید ش دارند برای خودشان,رسمی
نه بابا  با مرخصیم موافقت نکردن,محاوره
منو ترسوندی فکر کردم پدر و مادرتی,رسمی
به گمانم آخرین باری که من برای سکس پول دادم,رسمی
فکرنمیکنم اونقدرا هم گرسنه باشی ,محاوره
می‌روم به خانه,رسمی
شرط می‌بندم به تو گفته گلوله انفجاری زدش,رسمی
باید برویم به پشت خط ایستگاه پاکسازی تلفات,رسمی
  مزه ی گوه می ده   خیلی خب  کله خر  ,محاوره
باید میذاشتیم آلمانی‌ها نگهش دارند,رسمی
باید یک جنگل را پیدا کنم که سمت جنوب شرقه,رسمی
سرجوخه‌ها هر کاری که می‌کنید نباید ضوابط را زیر پا بگذارید,رسمی
کمک یک نفر به من کمک کند,رسمی
نمی‌توانیم به ایشان هشدار بدیم دشمن تمام خطوط تلفنی را قطع کرده,رسمی
فقط دارم می‌روم خانه,رسمی
خیلی خب یک دو سه,رسمی
  بیا یکم از مال من استفاده کن,محاوره
بیا یک مقدار از آب من بخور,رسمی
عین توئه یک‌خرده سن ش بالاتره,رسمی
ویلکو عاشق بو روغن شد,رسمی
  و واسه چند روز از اون در هیچ غذایی پایین نمیاد,محاوره
ما باید در موردش فکر کنیم,محاوره
ما هنوز حتی نرسیدیم آن جا,رسمی
میتونی بدون من بری من خودم رو بهت میرسونم ,محاوره
نه یک کم آب برای آن بیاور آن آب می‌خواهد,رسمی
همه چیز داره فرو میریزه,محاوره
مستقیم به جلو  بعد چپ از اسب های مرده رد میشید ,محاوره
چه کار می‌کنی؟ باید جلوی این حمله را بگیرم,رسمی
باید از آنجا عبور کنید,رسمی
خیلی خب  حتما شکایتت رو به گوش فرمانده میرسونم,محاوره
به نظر می‌آید که یک خط جدید ساختن نه مایل عقب‌تر از این جا این‌طور که معلومه,رسمی
فقط دارم می‌روم اردن,رسمی
 فکر می کنی چی تو کیسه ها باشه؟,محاوره
تنها دلیلی که باعث شد به جای کشیش شدن بیایم این جا همین بود,رسمی
مبل روانپزشکی یک کم برای من سفت شد,رسمی
میرم باهاش حرف بزنم واقعا کارش خوب نبود,محاوره
نمی‌دانستم برای چه یکی را می‌خواهم انتخاب کنم,رسمی
حتی موش‌هاشون هم بزرگ‌تر از موش‌های ماست,رسمی
چقدر طول می‌کشد به ایشان برسید؟,رسمی
آره  مال من افتاد رو زمین,محاوره
و این هم آن جاییه که موقع باران شهاب سنگی به آن پناه می آورند,رسمی
خدایا  اصلا کار رو آسون نمیکنن ,محاوره
فرماندهی با ستوان لسلی هستش,رسمی
 مستقیم برید و بعد بپیچید سمت چپ و از لاشه اسب ها رد بشید,محاوره
و کل هفته رو بگذرونی یا میخوای بهت خوش بگذره؟,محاوره
به شرط بندی مون فیصله بده  امروز چه روزی ه؟,محاوره
هوی راننده یک بارم شده تو مسیر برون,رسمی
می شه لطف کنی و پرت ش کنی طرف خودمون  پسر خوب,محاوره
می‌دانی من فکر می‌کنم که اینطوری خیلی زیباست,رسمی
زمانی که فهمیدم دیگر نمی‌توانم بمونم و مجبورم برگردم,رسمی
در صورت حمله متقابل خط رو حفظ کنید  بله  قربان  ,محاوره
باید خودمون رو برسونیم به یه بهیاری  نمیتونم  ,محاوره
درون این دنیای اندوه‌بار رهسپارم,رسمی
  حوصله ش رو ندارم  حواست به درخت ها باشه,محاوره
ظاهرا چهارده کیلومتر اونورتر در این نقطه یک خط جدید را تشکیل دادن,رسمی
تو در گردان دوم  دوون  یه برادر داری؟,محاوره
باید صبر کنی تا اولین موج بره,محاوره
 حتی موشهاشون از موشهای ما بزرگتره,محاوره
یک ثانیه بهم مهلت بده,رسمی
 اوه  محض رضای خدا فقط حرکتش بدین ,محاوره
< > به دیدن پدرم میروم < >,محاوره
